Start AutoEncoder training: 2025-04-27 14:46:50
Epoch [1/100], Loss: 6288.975654, Time: 0h 3m 0s
Epoch [2/100], Loss: 3909.282661, Time: 0h 3m 0s
Epoch [3/100], Loss: 3816.472980, Time: 0h 2m 51s
Epoch [4/100], Loss: 3621.126476, Time: 0h 2m 49s
Epoch [5/100], Loss: 3516.755451, Time: 0h 2m 52s
Epoch [6/100], Loss: 3455.397640, Time: 0h 2m 50s
Epoch [7/100], Loss: 3371.372548, Time: 0h 2m 51s
Epoch [8/100], Loss: 2993.234377, Time: 0h 2m 51s
Epoch [9/100], Loss: 2194.324310, Time: 0h 2m 47s
Epoch [10/100], Loss: 2124.887481, Time: 0h 2m 50s
Epoch [11/100], Loss: 2119.745758, Time: 0h 2m 50s
Epoch [12/100], Loss: 2136.416754, Time: 0h 2m 51s
Epoch [13/100], Loss: 2078.245501, Time: 0h 2m 50s
Epoch [14/100], Loss: 2050.077863, Time: 0h 2m 51s
Epoch [15/100], Loss: 2063.470749, Time: 0h 2m 47s
Epoch [16/100], Loss: 2071.345692, Time: 0h 2m 48s
Epoch [17/100], Loss: 2005.171939, Time: 0h 2m 49s
Epoch [18/100], Loss: 1988.399234, Time: 0h 2m 50s
Epoch [19/100], Loss: 1979.306895, Time: 0h 2m 49s
Epoch [20/100], Loss: 1951.897835, Time: 0h 2m 52s
Epoch [21/100], Loss: 1961.638823, Time: 0h 2m 50s
Epoch [22/100], Loss: 1951.268477, Time: 0h 2m 49s
Epoch [23/100], Loss: 1929.647048, Time: 0h 2m 51s
Epoch [24/100], Loss: 1955.613397, Time: 0h 2m 49s
Epoch [25/100], Loss: 1939.598969, Time: 0h 2m 49s
Epoch [26/100], Loss: 1928.598464, Time: 0h 2m 51s
Epoch [27/100], Loss: 1929.899124, Time: 0h 2m 47s
Epoch [28/100], Loss: 1914.848872, Time: 0h 2m 52s
Epoch [29/100], Loss: 1593.628454, Time: 0h 2m 48s
Epoch [30/100], Loss: 723.626755, Time: 0h 2m 50s
Epoch [31/100], Loss: 725.726917, Time: 0h 2m 50s
Epoch [32/100], Loss: 643.043410, Time: 0h 2m 51s
Epoch [33/100], Loss: 574.319380, Time: 0h 2m 50s
Epoch [34/100], Loss: 574.811295, Time: 0h 2m 52s
Epoch [35/100], Loss: 582.116899, Time: 0h 2m 47s
Epoch [36/100], Loss: 573.117535, Time: 0h 2m 51s
Epoch [37/100], Loss: 576.251115, Time: 0h 2m 50s
Epoch [38/100], Loss: 576.998937, Time: 0h 2m 50s
Epoch [39/100], Loss: 572.335096, Time: 0h 2m 51s
Epoch [40/100], Loss: 572.325854, Time: 0h 2m 52s
Epoch [41/100], Loss: 565.901234, Time: 0h 2m 51s
Epoch [42/100], Loss: 559.689513, Time: 0h 2m 51s
Epoch [43/100], Loss: 554.325743, Time: 0h 2m 50s
Epoch [44/100], Loss: 560.641788, Time: 0h 2m 51s
Epoch [45/100], Loss: 557.926421, Time: 0h 2m 52s
Epoch [46/100], Loss: 559.578689, Time: 0h 2m 49s
Epoch [47/100], Loss: 562.464239, Time: 0h 2m 49s
Epoch [48/100], Loss: 561.782408, Time: 0h 2m 51s
Epoch [49/100], Loss: 560.579534, Time: 0h 2m 50s
Epoch [50/100], Loss: 559.404583, Time: 0h 2m 49s
Epoch [51/100], Loss: 556.615567, Time: 0h 2m 47s
Epoch [52/100], Loss: 557.153074, Time: 0h 2m 49s
Epoch [53/100], Loss: 555.797894, Time: 0h 2m 51s
Epoch [54/100], Loss: 552.575286, Time: 0h 2m 51s
Epoch [55/100], Loss: 561.175700, Time: 0h 2m 50s
Epoch [56/100], Loss: 559.214339, Time: 0h 2m 50s
Epoch [57/100], Loss: 558.110661, Time: 0h 2m 51s
Epoch [58/100], Loss: 558.322773, Time: 0h 2m 53s
Epoch [59/100], Loss: 555.539054, Time: 0h 2m 50s
Epoch [60/100], Loss: 560.982524, Time: 0h 2m 49s
Epoch [61/100], Loss: 556.715711, Time: 0h 2m 50s
Epoch [62/100], Loss: 556.830292, Time: 0h 2m 50s
Epoch [63/100], Loss: 560.372896, Time: 0h 2m 50s
Epoch [64/100], Loss: 558.479404, Time: 0h 2m 51s
Epoch [65/100], Loss: 558.726434, Time: 0h 2m 48s
Epoch [66/100], Loss: 561.681846, Time: 0h 2m 50s
Epoch [67/100], Loss: 552.209746, Time: 0h 2m 48s
Epoch [68/100], Loss: 555.155683, Time: 0h 2m 49s
Epoch [69/100], Loss: 558.736167, Time: 0h 2m 55s
Epoch [70/100], Loss: 562.243668, Time: 0h 2m 50s
Epoch [71/100], Loss: 561.547419, Time: 0h 2m 50s
Epoch [72/100], Loss: 558.002792, Time: 0h 2m 50s
Epoch [73/100], Loss: 557.658308, Time: 0h 2m 55s
Epoch [74/100], Loss: 560.217761, Time: 0h 3m 2s
Epoch [75/100], Loss: 557.195731, Time: 0h 3m 2s
Epoch [76/100], Loss: 557.019842, Time: 0h 3m 2s
Epoch [77/100], Loss: 557.675069, Time: 0h 3m 0s
Epoch [78/100], Loss: 556.841211, Time: 0h 2m 58s
Epoch [79/100], Loss: 559.324338, Time: 0h 2m 47s
Epoch [80/100], Loss: 558.695567, Time: 0h 2m 50s
Epoch [81/100], Loss: 560.090183, Time: 0h 2m 51s
Epoch [82/100], Loss: 555.504603, Time: 0h 2m 51s
Epoch [83/100], Loss: 556.975475, Time: 0h 2m 49s
Epoch [84/100], Loss: 556.212337, Time: 0h 2m 51s
Epoch [85/100], Loss: 562.086078, Time: 0h 2m 51s
Epoch [86/100], Loss: 557.601153, Time: 0h 2m 49s
Epoch [87/100], Loss: 556.808071, Time: 0h 2m 50s
Epoch [88/100], Loss: 556.962368, Time: 0h 2m 50s
Epoch [89/100], Loss: 558.157911, Time: 0h 2m 50s
Epoch [90/100], Loss: 556.869476, Time: 0h 2m 50s
Epoch [91/100], Loss: 559.769289, Time: 0h 2m 49s
Epoch [92/100], Loss: 562.718446, Time: 0h 2m 50s
Epoch [93/100], Loss: 555.511630, Time: 0h 2m 50s
Epoch [94/100], Loss: 560.111864, Time: 0h 2m 47s
Epoch [95/100], Loss: 558.726988, Time: 0h 2m 50s
Epoch [96/100], Loss: 558.908171, Time: 0h 2m 47s
Epoch [97/100], Loss: 559.870139, Time: 0h 2m 52s
Epoch [98/100], Loss: 561.357595, Time: 0h 2m 50s
