23/04/01, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/04/02, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/04/03, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/04/04, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/04/05, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), ﾅｾﾙ方位角 (0-360) (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
23/04/06, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/04/07, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
23/04/08, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW), ﾅｾﾙ方位角 (0-360) (deg), PCS 08 ｼｽﾃﾑ有効電力 (kW)
23/04/09, ﾋﾟｯﾁ1 充電率 (%), ﾋﾟｯﾁ角度 A1(ﾓｰﾀｰ軸) (deg), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/04/10, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/04/11, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/04/12, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
23/04/13, ﾋﾟｯﾁ1 充電率 (%), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/04/14, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/04/15, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機ｼｽﾃﾑ電力 (kW), PCS 101 有効電力指令 (kW)
23/04/16, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), PCS 101 有効電力指令 (kW), 絶対ﾅｾﾙ方位角θ1 (deg), 発電機ｼｽﾃﾑ電力 (kW)
23/04/17, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
23/04/18, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
23/04/19, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
23/04/20, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 充電率 (%), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg)
23/04/21, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 充電率 (%), 絶対ﾅｾﾙ方位角θ2 (deg)
